16,-1,218,21,0,7,9,8,5,3,6,6,4,5,4,2,5,4,1,6,5,1,4,5,1,5
16,-1,225,20,0,7,9,8,5,3,7,3,6,4,5,7,0,2,6,3,5,3,1,3,4,5
16,-1,219,21,0,7,9,8,5,3,7,3,6,4,6,3,3,2,5,6,3,1,4,5,1,5
16,-1,217,21,0,7,9,8,5,3,7,3,6,5,4,2,5,3,4,3,6,1,4,5,1,5
16,-1,225,21,0,7,9,8,6,2,7,4,5,4,7,2,3,3,3,8,2,3,2,2,4,5
16,-1,216,21,0,7,9,8,6,2,7,4,5,5,4,5,2,3,4,5,4,1,5,4,1,5
16,-1,225,20,0,7,9,9,0,7,6,5,5,4,5,4,3,3,3,4,6,2,3,1,5,5
16,-1,225,20,0,7,9,9,1,6,6,6,4,4,6,3,3,3,4,3,6,2,4,0,5,5
16,-1,225,20,0,7,9,9,2,5,6,6,4,4,5,4,3,2,5,2,7,0,4,5,2,5
16,-1,218,21,0,7,9,9,2,5,6,6,4,4,5,4,3,3,2,5,6,2,1,3,5,5
16,-1,225,21,0,7,9,9,2,5,7,3,6,4,5,4,3,2,5,2,7,2,1,3,5,5
16,-1,218,21,0,7,9,9,3,4,6,7,3,4,6,3,3,3,3,4,6,2,2,2,5,5
16,-1,224,20,0,7,9,9,3,4,7,4,5,4,6,3,3,2,4,7,3,0,5,4,2,5
16,-1,220,20,0,7,9,9,3,4,7,4,5,5,4,2,5,3,3,4,6,0,5,4,2,5
16,-1,222,20,0,7,9,9,3,4,7,5,4,5,5,4,2,3,5,4,4,1,5,4,6,0
16,-1,222,20,0,7,9,9,4,3,7,5,4,5,4,5,2,3,3,6,4,0,6,3,2,5
16,-1,222,20,0,8,8,4,5,7,2,9,5,4,5,3,4,6,2,4,4,6,3,5,2,0
16,-1,216,20,0,8,8,4,5,7,3,6,7,4,5,3,4,5,5,1,5,6,3,5,2,0
16,-1,221,19,0,8,8,4,6,6,3,7,6,5,3,5,3,6,4,0,6,6,4,4,2,0
16,-1,221,20,0,8,8,4,7,5,3,7,6,4,5,3,4,5,4,2,5,6,1,7,2,0
16,-1,220,21,0,8,8,4,7,5,3,7,6,4,5,3,4,6,1,5,4,7,2,1,1,5
16,-1,225,20,0,8,8,4,7,5,3,7,6,5,2,6,3,6,1,5,4,4,7,1,4,0
16,-1,221,21,0,8,8,5,3,8,3,5,8,3,4,4,5,3,4,2,7,2,6,2,1,5
16,-1,213,20,0,8,8,5,3,8,3,7,6,4,5,3,4,5,4,2,5,5,4,4,3,0
16,-1,219,21,0,8,8,5,4,7,3,7,6,3,6,5,2,4,5,1,6,6,2,1,2,5
16,-1,219,20,0,8,8,5,4,7,3,8,5,5,3,5,3,6,3,1,6,5,5,3,3,0
16,-1,218,21,0,8,8,5,4,7,4,4,8,3,7,1,5,4,4,4,4,6,2,1,2,5
16,-1,211,21,0,8,8,5,4,7,4,4,8,4,4,4,4,5,2,4,5,6,2,1,2,5
16,-1,220,21,0,8,8,5,5,6,2,9,5,2,6,5,3,3,3,3,7,4,1,2,4,5
16,-1,212,20,0,8,8,5,5,6,3,8,5,4,5,3,4,5,3,3,5,5,2,6,3,0
16,-1,222,19,0,8,8,5,5,6,3,8,5,4,5,3,4,6,0,6,4,6,3,0,2,5
16,-1,216,20,0,8,8,5,5,6,4,5,7,3,7,4,2,4,4,6,2,6,3,0,2,5
16,-1,208,20,0,8,8,5,5,6,4,5,7,4,5,3,4,5,3,3,5,6,3,0,2,5
16,-1,219,21,0,8,8,5,6,5,3,7,6,2,7,4,3,3,2,8,3,4,2,1,4,5
16,-1,218,20,0,8,8,5,6,5,3,8,5,3,6,5,2,4,4,2,6,6,0,3,2,5
16,-1,220,20,0,8,8,5,6,5,3,9,4,5,3,5,3,6,2,2,6,5,3,5,3,0
16,-1,216,20,0,8,8,5,6,5,4,5,7,3,7,1,5,4,3,5,4,6,0,3,2,5
16,-1,211,20,0,8,8,5,6,5,4,5,7,4,4,4,4,5,1,5,5,6,0,3,2,5
16,-1,221,20,0,8,8,5,7,4,3,8,5,3,5,6,2,4,1,7,4,4,3,0,4,5
16,-1,218,21,0,8,8,5,7,4,4,6,6,3,7,4,2,4,3,7,2,6,1,2,2,5
16,-1,208,21,0,8,8,5,7,4,4,6,6,4,5,3,4,5,2,4,5,6,1,2,2,5
16,-1,219,21,0,8,8,5,7,4,5,3,8,3,7,4,2,3,6,4,3,6,1,2,2,5
16,-1,221,21,0,8,8,5,8,3,4,7,5,4,5,6,1,5,2,6,3,6,2,1,2,5
16,-1,217,21,0,8,8,5,8,3,5,4,7,4,5,6,1,4,5,3,4,6,2,1,2,5
16,-1,224,20,0,8,8,6,1,9,3,8,5,4,5,3,4,5,3,3,5,4,5,3,4,0
16,-1,224,20,0,8,8,6,2,8,3,8,5,3,6,5,2,4,4,2,6,5,3,0,3,5
16,-1,224,20,0,8,8,6,2,8,3,8,5,4,4,4,4,5,1,5,5,3,6,2,0,5
16,-1,222,20,0,8,8,6,2,8,4,5,7,3,7,1,5,4,3,5,4,5,3,0,3,5
16,-1,218,20,0,8,8,6,2,8,4,5,7,4,4,4,4,4,4,2,6,3,6,2,0,5
16,-1,217,20,0,8,8,6,2,8,4,5,7,4,4,4,4,5,1,5,5,5,3,0,3,5
16,-1,225,20,0,8,8,6,2,8,5,2,9,4,4,4,4,4,4,2,6,5,3,0,3,5
16,-1,214,21,0,8,8,6,3,7,3,7,6,3,4,4,5,3,2,4,7,1,5,3,2,5
16,-1,222,20,0,8,8,6,3,7,3,8,5,2,8,3,3,3,4,4,5,5,0,3,3,5
16,-1,225,20,0,8,8,6,3,7,3,8,5,3,5,6,2,3,5,1,7,3,3,5,0,5
16,-1,217,20,0,8,8,6,3,7,3,9,4,4,5,3,4,5,2,4,5,4,3,5,4,0
16,-1,221,20,0,8,8,6,3,7,4,5,7,3,5,6,2,3,5,1,7,5,0,3,3,5
16,-1,212,20,0,8,8,6,3,7,4,6,6,4,5,3,4,4,5,1,6,4,3,5,4,0
16,-1,217,21,0,8,8,6,4,6,3,9,4,3,6,5,2,4,3,3,6,5,1,2,3,5
16,-1,221,19,0,8,8,6,4,6,3,9,4,4,4,4,4,5,0,6,5,3,4,4,0,5
16,-1,214,20,0,8,8,6,4,6,4,5,7,2,7,4,3,2,4,6,4,3,3,0,5,5
16,-1,220,20,0,8,8,6,4,6,4,6,6,3,6,5,2,3,6,0,7,5,1,2,3,5
16,-1,214,21,0,8,8,6,4,6,4,6,6,3,7,1,5,4,2,6,4,5,1,2,3,5
16,-1,212,20,0,8,8,6,4,6,4,6,6,4,4,4,4,4,2,6,4,2,6,2,6,0
16,-1,204,20,0,8,8,6,4,6,4,6,6,4,4,4,4,4,3,3,6,3,4,4,0,5
16,-1,211,20,0,8,8,6,4,6,4,6,6,4,4,4,4,5,0,6,5,5,1,2,3,5
16,-1,216,19,0,8,8,6,4,6,4,7,5,5,3,5,3,5,4,0,7,4,4,4,4,0
16,-1,221,19,0,8,8,6,4,6,5,3,8,4,4,4,4,3,6,0,7,3,4,4,0,5
16,-1,223,19,0,8,8,6,4,6,5,3,8,4,5,0,7,4,2,6,4,3,4,4,0,5
16,-1,225,19,0,8,8,6,4,6,5,4,7,5,3,5,3,5,2,6,3,3,8,0,0,5
16,-1,225,20,0,8,8,6,4,6,6,1,9,4,6,2,4,3,7,3,3,4,4,4,4,0
16,-1,215,21,0,8,8,6,5,5,3,8,5,3,4,4,5,3,1,5,7,1,3,5,2,5
16,-1,219,21,0,8,8,6,5,5,4,7,5,3,7,4,2,4,2,8,2,5,2,1,3,5
16,-1,214,20,0,8,8,6,5,5,4,7,5,4,5,3,4,4,4,2,6,4,1,7,4,0
16,-1,207,21,0,8,8,6,5,5,4,7,5,4,5,3,4,5,1,5,5,5,2,1,3,5
16,-1,224,20,0,8,8,6,5,5,4,7,5,5,2,6,3,5,1,5,5,2,7,1,6,0
16,-1,216,20,0,8,8,6,5,5,4,7,5,5,2,6,3,5,2,2,7,3,5,3,0,5
16,-1,215,21,0,8,8,6,5,5,5,3,8,4,3,5,4,3,3,5,5,1,7,1,2,5
16,-1,209,21,0,8,8,6,5,5,5,4,7,3,7,4,2,3,5,5,3,5,2,1,3,5
16,-1,216,20,0,8,8,6,5,5,5,4,7,4,4,7,1,3,6,2,5,3,5,3,0,5
16,-1,213,20,0,8,8,6,5,5,5,4,7,5,3,2,6,5,1,5,5,3,5,3,0,5
16,-1,214,21,0,8,8,6,6,4,4,6,6,2,7,4,3,2,3,7,4,3,1,2,5,5
16,-1,210,20,0,8,8,6,6,4,4,7,5,4,4,4,4,4,2,4,6,3,2,6,0,5
16,-1,223,20,0,8,8,6,6,4,4,8,4,4,5,6,1,5,1,7,3,5,3,0,3,5
16,-1,220,20,0,8,8,6,6,4,4,8,4,5,3,5,3,5,3,1,7,4,2,6,4,0
16,-1,216,20,0,8,8,6,6,4,5,4,7,4,4,4,4,3,5,1,7,3,2,6,0,5
16,-1,208,20,0,8,8,6,6,4,5,5,6,4,5,6,1,4,4,4,4,5,3,0,3,5
16,-1,216,20,0,8,8,6,6,4,5,5,6,5,3,5,3,5,1,7,3,3,6,2,0,5
16,-1,214,20,0,8,8,6,6,4,5,5,6,5,4,1,6,5,2,4,5,3,6,2,0,5
16,-1,215,20,0,8,8,6,6,4,6,2,8,5,3,5,3,4,4,4,4,3,6,2,0,5
16,-1,214,21,0,8,8,6,7,3,4,7,5,3,5,6,2,3,2,6,5,3,2,1,5,5
16,-1,221,19,0,8,8,6,7,3,4,8,4,4,5,3,4,5,0,6,5,5,0,3,3,5
16,-1,224,20,0,8,8,6,7,3,4,8,4,5,2,6,3,5,1,3,7,3,3,5,0,5
16,-1,214,20,0,8,8,6,7,3,5,5,6,3,7,4,2,3,4,6,3,5,0,3,3,5
16,-1,215,20,0,8,8,6,7,3,5,5,6,4,4,7,1,3,5,3,5,3,3,5,0,5
16,-1,225,19,0,8,8,6,7,3,5,5,6,5,2,6,3,4,4,0,8,3,3,5,0,5
16,-1,220,19,0,8,8,6,7,3,5,5,6,5,3,2,6,5,0,6,5,3,3,5,0,5
16,-1,224,20,0,8,8,6,7,3,6,2,8,4,4,7,1,3,5,3,5,5,0,3,3,5
16,-1,215,21,0,8,8,6,8,2,5,6,5,4,5,6,1,4,3,5,4,5,1,2,3,5
16,-1,221,20,0,8,8,6,8,2,5,6,5,5,4,1,6,5,1,5,5,3,4,4,0,5
16,-1,223,21,0,8,8,6,8,2,6,3,7,4,5,6,1,3,6,2,5,5,1,2,3,5
16,-1,215,20,0,8,8,6,8,2,6,3,7,5,3,5,3,4,3,5,4,3,4,4,0,5
16,-1,224,21,0,8,8,7,1,8,4,6,6,3,5,6,2,3,4,2,7,4,1,2,4,5
16,-1,220,20,0,8,8,7,1,8,4,7,5,4,5,3,4,4,4,2,6,3,4,4,5,0
16,-1,222,21,0,8,8,7,2,7,4,7,5,3,6,5,2,3,5,1,7,4,2,1,4,5
16,-1,212,21,0,8,8,7,2,7,4,7,5,4,4,4,4,4,2,4,6,2,5,3,1,5
16,-1,220,20,0,8,8,7,2,7,4,8,4,4,5,6,1,4,4,4,4,3,5,3,5,0
16,-1,225,20,0,8,8,7,2,7,4,8,4,5,3,5,3,5,3,1,7,3,5,3,5,0
16,-1,218,21,0,8,8,7,2,7,5,4,7,3,7,1,5,3,4,4,5,4,2,1,4,5
16,-1,218,21,0,8,8,7,2,7,5,4,7,4,4,4,4,3,5,1,7,2,5,3,1,5
16,-1,211,21,0,8,8,7,2,7,5,4,7,4,4,4,4,4,2,4,6,4,2,1,4,5
16,-1,225,20,0,8,8,7,2,7,5,5,6,4,5,6,1,3,7,1,5,3,5,3,5,0
16,-1,224,20,0,8,8,7,2,7,6,2,8,4,6,2,4,3,6,4,3,3,5,3,5,0
16,-1,223,20,0,8,8,7,3,6,4,7,5,3,5,6,2,2,5,3,6,1,4,4,7,0
16,-1,216,20,0,8,8,7,3,6,4,8,4,4,5,3,4,4,3,3,6,3,2,6,5,0
16,-1,220,19,0,8,8,7,3,6,4,8,4,4,5,3,4,5,0,6,5,4,3,0,4,5
16,-1,217,21,0,8,8,7,3,6,5,4,7,3,6,2,5,2,5,3,6,2,2,6,1,5
16,-1,213,20,0,8,8,7,3,6,5,5,6,3,7,4,2,3,4,6,3,4,3,0,4,5
16,-1,222,19,0,8,8,7,3,6,5,5,6,3,8,0,5,3,5,3,5,4,3,0,4,5
16,-1,216,21,0,8,8,7,3,6,5,5,6,4,4,7,1,3,5,3,5,2,6,2,1,5
16,-1,207,20,0,8,8,7,3,6,5,5,6,4,5,3,4,4,3,3,6,4,3,0,4,5
16,-1,221,20,0,8,8,7,3,6,5,5,6,5,3,2,6,5,0,6,5,2,6,2,1,5
16,-1,223,20,0,8,8,7,3,6,6,2,8,4,4,7,1,3,5,3,5,4,3,0,4,5
16,-1,222,21,0,8,8,7,3,6,6,2,8,5,3,2,6,4,3,3,6,2,6,2,1,5
16,-1,224,21,0,8,8,7,4,5,4,7,5,2,7,4,3,2,2,8,4,2,2,1,6,5
16,-1,218,20,0,8,8,7,4,5,4,8,4,3,6,5,2,3,4,2,7,4,0,3,4,5
16,-1,212,21,0,8,8,7,4,5,4,8,4,4,4,4,4,4,1,5,6,2,3,5,1,5
16,-1,220,20,0,8,8,7,4,5,4,9,3,4,5,6,1,4,3,5,4,3,3,5,5,0
16,-1,223,20,0,8,8,7,4,5,4,9,3,5,3,5,3,5,2,2,7,3,3,5,5,0
16,-1,224,20,0,8,8,7,4,5,5,4,7,3,4,7,2,1,6,2,7,0,5,3,3,5
16,-1,213,20,0,8,8,7,4,5,5,5,6,3,7,1,5,3,3,5,5,4,0,3,4,5
16,-1,207,21,0,8,8,7,4,5,5,5,6,4,4,4,4,3,4,2,7,2,3,5,1,5
16,-1,208,20,0,8,8,7,4,5,5,5,6,4,4,4,4,4,1,5,6,4,0,3,4,5
16,-1,214,20,0,8,8,7,4,5,5,6,5,4,5,6,1,3,6,2,5,3,3,5,5,0
16,-1,224,20,0,8,8,7,4,5,5,6,5,5,4,1,6,4,4,2,6,1,6,7,2,0
16,-1,221,21,0,8,8,7,4,5,5,6,5,5,4,1,6,5,1,5,5,2,7,1,1,5
16,-1,212,20,0,8,8,7,4,5,6,3,7,4,6,2,4,3,5,5,3,3,3,5,5,0
16,-1,215,21,0,8,8,7,4,5,6,3,7,5,3,5,3,4,3,5,4,2,7,1,1,5
16,-1,223,21,0,8,8,7,4,5,6,3,7,5,4,1,6,4,4,2,6,2,7,1,1,5
16,-1,225,20,0,8,8,7,5,4,4,8,4,3,5,6,2,3,1,7,5,2,3,0,6,5
16,-1,224,20,0,8,8,7,5,4,5,5,6,3,6,2,5,2,4,4,6,2,0,8,1,5
16,-1,216,20,0,8,8,7,5,4,5,5,6,4,3,5,4,3,1,7,5,0,6,2,3,5
16,-1,212,21,0,8,8,7,5,4,5,6,5,3,7,4,2,3,3,7,3,4,1,2,4,5
16,-1,217,20,0,8,8,7,5,4,5,6,5,3,8,0,5,3,4,4,5,4,1,2,4,5
16,-1,209,21,0,8,8,7,5,4,5,6,5,4,4,7,1,3,4,4,5,2,4,4,1,5
16,-1,204,21,0,8,8,7,5,4,5,6,5,4,5,3,4,4,2,4,6,4,1,2,4,5
16,-1,217,21,0,8,8,7,5,4,5,6,5,5,2,6,3,4,3,1,8,2,4,4,1,5
16,-1,214,21,0,8,8,7,5,4,6,3,7,3,7,4,2,2,6,4,4,4,1,2,4,5
16,-1,225,21,0,8,8,7,5,4,6,3,7,4,4,7,1,2,7,1,6,2,4,4,1,5
16,-1,213,21,0,8,8,7,5,4,6,3,7,4,4,7,1,3,4,4,5,4,1,2,4,5
16,-1,221,20,0,8,8,7,6,3,5,5,6,3,4,7,2,1,5,3,7,0,3,5,3,5
16,-1,216,21,0,8,8,7,6,3,5,6,5,4,4,4,4,3,3,3,7,2,1,7,1,5
16,-1,223,20,0,8,8,7,6,3,5,7,4,4,5,6,1,3,5,3,5,3,1,7,5,0
16,-1,214,21,0,8,8,7,6,3,5,7,4,4,5,6,1,4,2,6,4,4,2,1,4,5
16,-1,210,21,0,8,8,7,6,3,5,7,4,4,6,2,4,4,3,3,6,4,2,1,4,5
16,-1,222,20,0,8,8,7,6,3,5,7,4,5,4,1,6,5,0,6,5,2,5,3,1,5
16,-1,211,21,0,8,8,7,6,3,6,4,6,4,5,6,1,3,5,3,5,4,2,1,4,5
16,-1,220,20,0,8,8,7,6,3,6,4,6,4,6,2,4,3,4,6,3,3,1,7,5,0
16,-1,209,21,0,8,8,7,6,3,6,4,6,5,3,5,3,4,2,6,4,2,5,3,1,5
16,-1,220,21,0,8,8,7,6,3,7,1,8,5,3,5,3,3,5,3,5,2,5,3,1,5
16,-1,225,19,0,8,8,7,7,2,5,6,5,4,3,5,4,3,0,8,5,0,4,4,3,5
16,-1,222,21,0,8,8,7,7,2,5,7,4,4,4,7,1,3,3,5,5,2,2,6,1,5
16,-1,221,20,0,8,8,7,8,1,6,5,5,4,5,6,1,3,4,4,5,4,0,3,4,5
16,-1,223,21,0,8,8,7,8,1,6,5,5,5,3,5,3,4,1,7,4,2,3,5,1,5
16,-1,223,21,0,8,8,7,8,1,7,2,7,5,3,5,3,3,4,4,5,2,3,5,1,5
16,-1,225,19,0,8,8,8,0,8,5,6,5,4,6,2,4,4,3,5,4,3,4,4,0,5
16,-1,221,21,0,8,8,8,1,7,5,5,6,3,6,2,5,2,4,4,6,1,3,5,2,5
16,-1,225,20,0,8,8,8,1,7,5,7,4,4,7,1,4,4,4,4,4,3,5,3,0,5
16,-1,221,21,0,8,8,8,2,6,5,6,5,3,7,1,5,2,5,3,6,1,4,4,2,5
16,-1,222,21,0,8,8,8,2,6,5,6,5,3,7,1,5,3,2,6,5,3,1,2,5,5
16,-1,212,21,0,8,8,8,2,6,5,6,5,4,4,4,4,3,3,3,7,1,4,4,2,5
16,-1,219,20,0,8,8,8,2,6,5,6,5,4,4,4,4,4,0,6,6,3,1,2,5,5
16,-1,222,20,0,8,8,8,2,6,5,7,4,4,5,6,1,3,5,3,5,2,4,4,6,0
16,-1,222,20,0,8,8,8,2,6,5,7,4,4,6,2,4,4,2,6,4,3,2,6,0,5
16,-1,219,20,0,8,8,8,2,6,6,4,6,4,6,2,4,3,4,6,3,2,4,4,6,0
16,-1,219,20,0,8,8,8,2,6,6,4,6,4,6,2,4,3,5,3,5,3,2,6,0,5
16,-1,222,21,0,8,8,8,3,5,5,6,5,3,6,2,5,2,3,5,6,1,1,7,2,5
16,-1,224,21,0,8,8,8,3,5,5,7,4,3,7,4,2,3,2,8,3,3,2,1,5,5
16,-1,225,20,0,8,8,8,3,5,5,7,4,3,8,0,5,3,3,5,5,3,2,1,5,5
16,-1,217,21,0,8,8,8,3,5,5,7,4,4,4,7,1,3,3,5,5,1,5,3,2,5
16,-1,214,21,0,8,8,8,3,5,5,7,4,4,5,3,4,3,4,2,7,1,5,3,2,5
16,-1,214,21,0,8,8,8,3,5,5,7,4,4,5,3,4,4,1,5,6,3,2,1,5,5
16,-1,222,20,0,8,8,8,3,5,5,8,3,4,7,1,4,4,3,5,4,3,3,5,0,5
16,-1,215,21,0,8,8,8,3,5,6,4,6,3,7,4,2,2,5,5,4,3,2,1,5,5
16,-1,222,21,0,8,8,8,3,5,6,4,6,4,4,7,1,2,6,2,6,1,5,3,2,5
16,-1,216,21,0,8,8,8,3,5,6,4,6,4,4,7,1,3,3,5,5,3,2,1,5,5
16,-1,217,21,0,8,8,8,3,5,6,4,6,5,3,2,6,4,1,5,6,1,5,3,2,5
16,-1,220,20,0,8,8,8,3,5,6,5,5,4,7,1,4,3,6,2,5,3,3,5,0,5
16,-1,222,21,0,8,8,8,3,5,7,1,8,4,5,3,4,2,5,5,4,1,5,3,2,5
16,-1,222,21,0,8,8,8,4,4,5,7,4,3,7,1,5,2,4,4,6,1,2,6,2,5
16,-1,215,21,0,8,8,8,4,4,5,7,4,4,4,4,4,3,2,4,7,1,2,6,2,5
16,-1,225,20,0,8,8,8,4,4,5,8,3,4,5,6,1,3,4,4,5,2,2,6,6,0
16,-1,219,20,0,8,8,8,4,4,5,8,3,4,6,2,4,4,2,4,6,3,3,0,5,5
16,-1,222,21,0,8,8,8,4,4,6,4,6,4,4,4,4,2,5,1,8,1,2,6,2,5
16,-1,213,20,0,8,8,8,4,4,6,5,5,4,5,6,1,3,4,4,5,3,3,0,5,5
16,-1,216,21,0,8,8,8,4,4,6,5,5,4,6,2,4,3,3,7,3,1,6,2,2,5
16,-1,221,20,0,8,8,8,4,4,6,5,5,4,6,2,4,3,3,7,3,2,2,6,6,0
16,-1,225,19,0,8,8,8,4,4,6,5,5,4,6,2,4,3,4,4,5,3,0,8,0,5
16,-1,217,21,0,8,8,8,4,4,6,5,5,5,3,5,3,4,1,7,4,1,6,2,2,5
16,-1,217,21,0,8,8,8,4,4,6,5,5,5,4,1,6,4,2,4,6,1,6,2,2,5
16,-1,222,21,0,8,8,8,4,4,7,2,7,4,6,2,4,2,6,4,4,1,6,2,2,5
16,-1,217,21,0,8,8,8,4,4,7,2,7,5,3,5,3,3,4,4,5,1,6,2,2,5
16,-1,217,21,0,8,8,8,5,3,5,8,3,4,5,3,4,3,3,3,7,1,3,5,2,5
16,-1,225,19,0,8,8,8,5,3,5,8,3,4,5,3,4,4,0,6,6,3,0,3,5,5
16,-1,217,20,0,8,8,8,5,3,6,5,5,3,7,4,2,2,4,6,4,3,0,3,5,5
16,-1,218,21,0,8,8,8,5,3,6,5,5,4,4,7,1,2,5,3,6,1,3,5,2,5
16,-1,220,20,0,8,8,8,5,3,6,5,5,4,4,7,1,3,2,6,5,3,0,3,5,5
16,-1,225,20,0,8,8,8,5,3,6,5,5,4,5,3,4,2,6,0,8,1,3,5,2,5
16,-1,221,20,0,8,8,8,5,3,6,5,5,5,3,2,6,4,0,6,6,1,3,5,2,5
16,-1,218,21,0,8,8,8,5,3,6,6,4,5,4,4,3,4,2,6,4,1,7,1,2,5
16,-1,217,21,0,8,8,8,5,3,7,2,7,4,5,3,4,2,4,6,4,1,3,5,2,5
16,-1,219,21,0,8,8,8,5,3,7,3,6,5,4,4,3,3,5,3,5,1,7,1,2,5
16,-1,217,21,0,8,8,8,6,2,6,6,4,4,5,6,1,3,3,5,5,3,1,2,5,5
16,-1,222,21,0,8,8,8,6,2,6,6,4,4,6,2,4,3,2,8,3,1,4,4,2,5
16,-1,225,20,0,8,8,8,6,2,6,6,4,5,3,5,3,4,0,8,4,1,4,4,2,5
16,-1,221,21,0,8,8,8,6,2,6,6,4,5,4,1,6,4,1,5,6,1,4,4,2,5
16,-1,217,21,0,8,8,8,6,2,7,3,6,4,6,2,4,2,5,5,4,1,4,4,2,5
16,-1,214,21,0,8,8,8,6,2,7,3,6,5,3,5,3,3,3,5,5,1,4,4,2,5
16,-1,216,21,0,8,8,8,7,1,7,4,5,5,4,4,3,3,4,4,5,1,5,3,2,5
16,-1,225,20,0,8,8,9,0,7,6,5,5,4,6,2,4,3,4,4,5,2,3,5,1,5
16,-1,225,21,0,8,8,9,1,6,6,6,4,4,7,1,4,3,5,3,5,2,4,4,1,5
16,-1,224,20,0,8,8,9,2,5,6,5,5,4,4,4,4,2,4,2,8,0,3,5,3,5
16,-1,225,20,0,8,8,9,2,5,6,5,5,4,4,4,4,3,1,5,7,2,0,3,6,5
16,-1,225,21,0,8,8,9,2,5,6,6,4,4,6,2,4,3,3,5,5,2,1,7,1,5
16,-1,220,21,0,8,8,9,3,4,6,6,4,4,5,3,4,3,2,4,7,2,1,2,6,5
16,-1,225,21,0,8,8,9,3,4,6,7,3,4,7,1,4,3,4,4,5,2,2,6,1,5
16,-1,221,20,0,8,8,9,3,4,7,3,6,4,5,3,4,2,3,7,4,0,4,4,3,5
16,-1,224,21,0,8,8,9,3,4,7,4,5,4,6,5,1,2,6,4,4,2,2,6,1,5
16,-1,225,21,0,8,8,9,4,3,6,7,3,4,6,2,4,3,3,3,7,2,2,1,6,5
16,-1,225,21,0,8,8,9,4,3,7,4,5,4,5,6,1,2,5,3,6,2,2,1,6,5
16,-1,220,20,0,8,8,9,4,3,7,4,5,4,6,2,4,2,4,6,4,0,5,3,3,5
16,-1,219,20,0,8,8,9,4,3,7,4,5,5,3,5,3,3,2,6,5,0,5,3,3,5
16,-1,220,20,0,8,8,9,5,2,7,5,4,5,4,4,3,3,3,5,5,0,6,2,3,5
16,-1,225,20,0,9,7,4,6,6,2,8,6,3,5,5,3,5,2,3,6,7,0,2,2,5
16,-1,223,21,0,9,7,5,4,7,3,6,7,2,7,6,1,3,5,4,4,6,1,1,3,5
16,-1,216,20,0,9,7,5,4,7,3,6,7,3,6,1,6,4,3,4,5,4,4,3,0,5
16,-1,214,20,0,9,7,5,4,7,3,6,7,4,3,4,5,5,1,4,6,4,4,3,0,5
16,-1,218,20,0,9,7,5,4,7,4,4,8,4,4,6,2,4,6,1,5,5,4,3,4,0
16,-1,212,20,0,9,7,5,5,6,3,7,6,4,4,3,5,5,2,3,6,4,5,2,0,5
16,-1,215,20,0,9,7,5,5,6,4,4,8,3,6,4,3,4,3,6,3,6,2,0,3,5
16,-1,216,20,0,9,7,5,5,6,4,5,7,4,6,1,5,5,3,6,2,5,5,2,4,0
16,-1,216,20,0,9,7,5,5,6,4,5,7,5,3,4,4,5,4,3,4,3,8,4,1,0
16,-1,218,20,0,9,7,5,6,5,3,7,6,3,6,1,6,4,2,5,5,4,2,5,0,5
16,-1,218,19,0,9,7,5,6,5,3,7,6,4,3,4,5,5,0,5,6,4,2,5,0,5
16,-1,222,20,0,9,7,5,6,5,5,2,9,4,5,2,5,4,4,5,3,4,6,1,0,5
16,-1,216,20,0,9,7,5,7,4,3,8,5,4,4,3,5,5,1,4,6,4,3,4,0,5
16,-1,218,20,0,9,7,5,7,4,4,5,7,3,6,4,3,4,2,7,3,6,0,2,3,5
16,-1,213,20,0,9,7,5,7,4,4,6,6,5,3,4,4,5,3,4,4,3,6,6,1,0
16,-1,219,21,0,9,7,5,8,3,4,6,6,3,7,3,3,4,3,6,3,6,1,1,3,5
16,-1,224,20,0,9,7,6,2,8,3,7,6,3,5,5,3,4,3,2,7,5,2,0,4,5
16,-1,224,21,0,9,7,6,2,8,3,7,6,3,6,1,6,4,2,5,5,3,5,2,1,5
16,-1,224,20,0,9,7,6,2,8,3,7,6,4,3,4,5,5,0,5,6,3,5,2,1,5
16,-1,225,20,0,9,7,6,2,8,3,8,5,4,5,2,5,5,3,2,6,4,5,2,5,0
16,-1,221,21,0,9,7,6,2,8,4,4,8,4,3,4,5,4,3,2,7,3,5,2,1,5
16,-1,220,20,0,9,7,6,2,8,4,5,7,4,4,6,2,4,5,2,5,4,5,2,5,0
16,-1,223,21,0,9,7,6,3,7,3,7,6,3,4,6,3,3,4,1,8,3,2,5,1,5
16,-1,223,21,0,9,7,6,3,7,3,8,5,3,6,4,3,4,2,7,3,3,6,1,1,5
16,-1,221,21,0,9,7,6,3,7,3,8,5,4,4,3,5,5,1,4,6,3,6,1,1,5
16,-1,213,21,0,9,7,6,3,7,4,5,7,3,6,4,3,3,5,4,4,3,6,1,1,5
16,-1,219,21,0,9,7,6,3,7,4,5,7,4,4,3,5,4,4,1,7,3,6,1,1,5
16,-1,223,20,0,9,7,6,3,7,4,6,6,5,3,4,4,5,3,4,4,2,9,3,2,0
16,-1,213,21,0,9,7,6,4,6,3,7,6,2,6,4,4,2,3,6,5,1,5,2,3,5
16,-1,225,20,0,9,7,6,4,6,3,8,5,2,7,6,1,3,3,6,4,5,0,2,4,5
16,-1,224,20,0,9,7,6,4,6,3,8,5,2,8,2,4,3,4,3,6,5,0,2,4,5
16,-1,223,20,0,9,7,6,4,6,3,8,5,3,5,5,3,3,5,0,8,3,3,4,1,5
